master_position,instance_id,instance_text
01:01:16:038,eng:01:01:16:043,which
01:01:16:039,eng:01:01:16:044,I shall not make
01:01:16:040,eng:01:01:16:045,a
01:01:16:042,eng:01:01:16:047,account
01:01:16:041,eng:01:01:16:046,full
00:00:00:001,eng:01:01:16:048,.
01:01:17:001,eng:01:01:17:001,But
01:01:17:002,eng:01:01:17:002,I shall make
01:01:17:003,eng:01:01:17:003,an account
01:01:17:004,eng:01:01:17:004,of
01:01:17:005,eng:01:01:17:005,my proceedings
01:01:17:006,eng:01:01:17:006,in
01:01:17:007,eng:01:01:17:007,my days
00:00:00:001,eng:01:01:17:008,.
01:01:17:008,eng:01:01:17:009,Behold
00:00:00:001,eng:01:01:17:010,","
01:01:17:009,eng:01:01:17:011,I make
01:01:17:010,eng:01:01:17:012,an abridgment
01:01:17:011,eng:01:01:17:013,of
01:01:17:012,eng:01:01:17:014,the record
01:01:17:013,eng:01:01:17:015,of
01:01:17:014,eng:01:01:17:016,my father
00:00:00:001,eng:01:01:17:017,","
01:01:17:015,eng:01:01:17:018,upon
01:01:17:016,eng:01:01:17:019,plates
01:01:17:017,eng:01:01:17:020,which
01:01:17:018,eng:01:01:17:021,I have made
01:01:17:019,eng:01:01:17:022,with
01:01:17:020,eng:01:01:17:023,mine
01:01:17:021,eng:01:01:17:024,own
01:01:17:022,eng:01:01:17:025,hands
00:00:00:001,eng:01:01:17:026,;
01:01:17:023,eng:01:01:17:027,wherefore
00:00:00:001,eng:01:01:17:028,","
01:01:17:024,eng:01:01:17:029,after
01:01:17:026,eng:01:01:17:031,the record
01:01:17:025,eng:01:01:17:030,I have abridged
01:01:17:027,eng:01:01:17:032,of
01:01:17:028,eng:01:01:17:033,my father
01:01:17:029,eng:01:01:17:034,then
01:01:17:030,eng:01:01:17:035,will I make
01:01:17:031,eng:01:01:17:036,an account
01:01:17:032,eng:01:01:17:037,of
01:01:17:033,eng:01:01:17:038,mine
01:01:17:034,eng:01:01:17:039,own
01:01:17:035,eng:01:01:17:040,life
00:00:00:001,eng:01:01:17:041,.
01:01:18:001,eng:01:01:18:001,Therefore
00:00:00:001,eng:01:01:18:002,","
01:01:18:002,eng:01:01:18:003,I would
01:01:18:003,eng:01:01:18:004,that
01:01:18:004,eng:01:01:18:005,ye should know
00:00:00:001,eng:01:01:18:006,","
01:01:18:005,eng:01:01:18:007,that
01:01:18:006,eng:01:01:18:008,after
01:01:18:007,eng:01:01:18:009,the Lord
01:01:18:008,eng:01:01:18:010,had shown
01:01:18:012,eng:01:01:18:014,unto
01:01:18:013,eng:01:01:18:015,my father
00:00:00:001,eng:01:01:18:016,","
01:01:18:014,eng:01:01:18:017,Lehi
01:01:18:009,eng:01:01:18:011,so many
01:01:18:011,eng:01:01:18:013,things
01:01:18:010,eng:01:01:18:012,marvelous
00:00:00:001,eng:01:01:18:018,","
01:01:18:015,eng:01:01:18:019,yea
00:00:00:001,eng:01:01:18:020,","
01:01:18:016,eng:01:01:18:021,concerning
01:01:18:017,eng:01:01:18:022,the destruction
01:01:18:018,eng:01:01:18:023,of
01:01:18:019,eng:01:01:18:024,Jerusalem
00:00:00:001,eng:01:01:18:025,","
01:01:18:020,eng:01:01:18:026,behold
01:01:18:021,eng:01:01:18:027,he went forth
01:01:18:022,eng:01:01:18:028,among
01:01:18:023,eng:01:01:18:029,the people
00:00:00:001,eng:01:01:18:030,","
01:01:18:024,eng:01:01:18:031,and
01:01:18:025,eng:01:01:18:032,began
01:01:18:026,eng:01:01:18:033,to
