master_position,instance_id,instance_text,chunk_id
01:01:08:005,eng:01:01:08:005,with,eng_chk_00289
01:01:08:006,eng:01:01:08:006,the Spirit,eng_chk_00237
00:00:00:001,eng:01:01:08:007,",",eng_chk_00005
01:01:08:007,eng:01:01:08:008,he was,eng_chk_00106
01:01:08:008,eng:01:01:08:009,carried away,eng_chk_00047
01:01:08:009,eng:01:01:08:010,in,eng_chk_00137
01:01:08:010,eng:01:01:08:011,a vision,eng_chk_00015
00:00:00:001,eng:01:01:08:012,",",eng_chk_00005
01:01:08:011,eng:01:01:08:013,even,eng_chk_00065
01:01:08:012,eng:01:01:08:014,that,eng_chk_00208
01:01:08:013,eng:01:01:08:015,he saw,eng_chk_00102
01:01:08:014,eng:01:01:08:016,open,eng_chk_00173
01:01:08:015,eng:01:01:08:017,the heavens,eng_chk_00222
00:00:00:001,eng:01:01:08:018,",",eng_chk_00005
01:01:08:016,eng:01:01:08:019,and,eng_chk_00028
01:01:08:017,eng:01:01:08:020,he thought,eng_chk_00105
01:01:08:018,eng:01:01:08:021,he saw,eng_chk_00102
01:01:08:019,eng:01:01:08:022,God,eng_chk_00075
01:01:08:020,eng:01:01:08:023,sitting,eng_chk_00196
01:01:08:021,eng:01:01:08:024,upon,eng_chk_00277
01:01:08:022,eng:01:01:08:025,his throne,eng_chk_00124
00:00:00:001,eng:01:01:08:026,",",eng_chk_00005
01:01:08:023,eng:01:01:08:027,surrounded,eng_chk_00205
01:01:08:024,eng:01:01:08:028,with,eng_chk_00289
01:01:08:025,eng:01:01:08:029,numberless,eng_chk_00168
01:01:08:026,eng:01:01:08:030,concourses,eng_chk_00052
01:01:08:027,eng:01:01:08:031,of,eng_chk_00170
01:01:08:028,eng:01:01:08:032,Angels,eng_chk_00029
01:01:08:029,eng:01:01:08:033,in,eng_chk_00137
01:01:08:030,eng:01:01:08:034,the attitude,eng_chk_00210
01:01:08:031,eng:01:01:08:035,of,eng_chk_00170
01:01:08:032,eng:01:01:08:036,singing,eng_chk_00195
01:01:08:033,eng:01:01:08:037,and,eng_chk_00028
01:01:08:034,eng:01:01:08:038,praising,eng_chk_00183
01:01:08:035,eng:01:01:08:039,their God,eng_chk_00247
00:00:00:001,eng:01:01:08:040,.,eng_chk_00006
01:01:09:001,eng:01:01:09:001,And,eng_chk_00028
01:01:09:002,eng:01:01:09:002,it came to pass,eng_chk_00140
01:01:09:003,eng:01:01:09:003,that,eng_chk_00208
01:01:09:004,eng:01:01:09:004,he saw,eng_chk_00102
01:01:09:005,eng:01:01:09:005,One,eng_chk_00172
01:01:09:006,eng:01:01:09:006,descending,eng_chk_00056
01:01:09:007,eng:01:01:09:007,out,eng_chk_00176
01:01:09:008,eng:01:01:09:008,of,eng_chk_00170
01:01:09:009,eng:01:01:09:009,the midst,eng_chk_00228
01:01:09:010,eng:01:01:09:010,of,eng_chk_00170
01:01:09:011,eng:01:01:09:011,heaven,eng_chk_00110
00:00:00:001,eng:01:01:09:012,",",eng_chk_00005
01:01:09:012,eng:01:01:09:013,and,eng_chk_00028
01:01:09:013,eng:01:01:09:014,he beheld,eng_chk_00091
01:01:09:014,eng:01:01:09:015,that,eng_chk_00208
01:01:09:015,eng:01:01:09:016,his luster,eng_chk_00121
01:01:09:016,eng:01:01:09:017,was,eng_chk_00279
01:01:09:017,eng:01:01:09:018,above,eng_chk_00016
01:01:09:018,eng:01:01:09:019,that,eng_chk_00208
01:01:09:019,eng:01:01:09:020,of,eng_chk_00170
01:01:09:020,eng:01:01:09:021,the sun,eng_chk_00239
01:01:09:021,eng:01:01:09:022,at,eng_chk_00033
01:01:09:022,eng:01:01:09:023,noon-day,eng_chk_00166
00:00:00:001,eng:01:01:09:024,.,eng_chk_00006
01:01:10:001,eng:01:01:10:001,And,eng_chk_00028
01:01:10:002,eng:01:01:10:002,he,eng_chk_00090
01:01:10:004,eng:01:01:10:003,saw,eng_chk_00190
01:01:10:003,eng:01:01:10:004,also,eng_chk_00024
01:01:10:007,eng:01:01:10:005,following him,eng_chk_00071
01:01:10:006,eng:01:01:10:006,others,eng_chk_00175
01:01:10:005,eng:01:01:10:007,twelve,eng_chk_00275
00:00:00:001,eng:01:01:10:008,",",eng_chk_00005
01:01:10:008,eng:01:01:10:009,and,eng_chk_00028
01:01:10:009,eng:01:01:10:010,their brightness,eng_chk_00245
01:01:10:010,eng:01:01:10:011,did exceed,eng_chk_00059
01:01:10:011,eng:01:01:10:012,that,eng_chk_00208
01:01:10:012,eng:01:01:10:013,of,eng_chk_00170
01:01:10:013,eng:01:01:10:014,the stars,eng_chk_00238
01:01:10:014,eng:01:01:10:015,in,eng_chk_00137
01:01:10:015,eng:01:01:10:016,the firmament,eng_chk_00219
00:00:00:001,eng:01:01:10:017,.,eng_chk_00006
01:01:11:001,eng:01:01:11:001,And,eng_chk_00028
01:01:11:002,eng:01:01:11:002,they came down,eng_chk_00256
01:01:11:003,eng:01:01:11:003,and,eng_chk_00028
01:01:11:004,eng:01:01:11:004,went forth,eng_chk_00280
01:01:11:005,eng:01:01:11:005,upon,eng_chk_00277
01:01:11:006,eng:01:01:11:006,the face,eng_chk_00218
01:01:11:007,eng:01:01:11:007,of,eng_chk_00170
01:01:11:008,eng:01:01:11:008,the earth,eng_chk_00216
00:00:00:001,eng:01:01:11:009,;,eng_chk_00008
01:01:11:009,eng:01:01:11:010,and,eng_chk_00028
01:01:11:010,eng:01:01:11:011,the first,eng_chk_00220
01:01:11:011,eng:01:01:11:012,came,eng_chk_00045
01:01:11:012,eng:01:01:11:013,and,eng_chk_00028
01:01:11:013,eng:01:01:11:014,stood,eng_chk_00203
01:01:11:014,eng:01:01:11:015,before,eng_chk_00037
01:01:11:015,eng:01:01:11:016,my father,eng_chk_00161
00:00:00:001,eng:01:01:11:017,",",eng_chk_00005
01:01:11:016,eng:01:01:11:018,and,eng_chk_00028
01:01:11:017,eng:01:01:11:019,gave unto him,eng_chk_00074
01:01:11:018,eng:01:01:11:020,a book,eng_chk_00010
00:00:00:001,eng:01:01:11:021,",",eng_chk_00005
01:01:11:019,eng:01:01:11:022,and,eng_chk_00028
01:01:11:020,eng:01:01:11:023,bade him,eng_chk_00035
01:01:11:021,eng:01:01:11:024,that,eng_chk_00208
01:01:11:022,eng:01:01:11:025,he should read,eng_chk_00103
00:00:00:001,eng:01:01:11:026,.,eng_chk_00006
01:01:12:001,eng:01:01:12:001,And,eng_chk_00028
01:01:12:002,eng:01:01:12:002,it came to pass,eng_chk_00140
01:01:12:003,eng:01:01:12:003,that,eng_chk_00208
01:01:12:004,eng:01:01:12:004,as,eng_chk_00032
01:01:12:005,eng:01:01:12:005,he read,eng_chk_00100
00:00:00:001,eng:01:01:12:006,",",eng_chk_00005
01:01:12:006,eng:01:01:12:007,he was,eng_chk_00106
01:01:12:007,eng:01:01:12:008,filled,eng_chk_00068
01:01:12:008,eng:01:01:12:009,with,eng_chk_00289
01:01:12:009,eng:01:01:12:010,the Spirit,eng_chk_00237
01:01:12:010,eng:01:01:12:011,of,eng_chk_00170
01:01:12:011,eng:01:01:12:012,the Lord,eng_chk_00227
00:00:00:001,eng:01:01:12:013,.,eng_chk_00006
01:01:13:001,eng:01:01:13:001,And,eng_chk_00028
01:01:13:002,eng:01:01:13:002,he read,eng_chk_00100
00:00:00:001,eng:01:01:13:003,",",eng_chk_00005
01:01:13:003,eng:01:01:13:004,saying,eng_chk_00191
00:00:00:001,eng:01:01:13:005,:,eng_chk_00007
01:01:13:004,eng:01:01:13:006,wo,eng_chk_00290
00:00:00:001,eng:01:01:13:007,",",eng_chk_00005
01:01:13:005,eng:01:01:13:008,wo,eng_chk_00290
00:00:00:001,eng:01:01:13:009,",",eng_chk_00005
01:01:13:006,eng:01:01:13:010,unto,eng_chk_00276
01:01:13:007,eng:01:01:13:011,Jerusalem,eng_chk_00142
00:00:00:001,eng:01:01:13:012,",",eng_chk_00005
01:01:13:008,eng:01:01:13:013,for,eng_chk_00072
01:01:13:009,eng:01:01:13:014,I have seen,eng_chk_00129
01:01:13:010,eng:01:01:13:015,thine abominations,eng_chk_00262
00:00:00:001,eng:01:01:13:016,!,eng_chk_00002
01:01:13:011,eng:01:01:13:017,Yea,eng_chk_00292
00:00:00:001,eng:01:01:13:018,",",eng_chk_00005
01:01:13:012,eng:01:01:13:019,and,eng_chk_00028
01:01:13:013,eng:01:01:13:020,many,eng_chk_00151
01:01:13:014,eng:01:01:13:021,things,eng_chk_00263
01:01:13:015,eng:01:01:13:022,did,eng_chk_00058
01:01:13:016,eng:01:01:13:023,my father,eng_chk_00161
01:01:13:017,eng:01:01:13:024,read,eng_chk_00188
01:01:13:018,eng:01:01:13:025,concerning,eng_chk_00051
01:01:13:019,eng:01:01:13:026,Jerusalem,eng_chk_00142
00:00:00:001,eng:01:01:13:027,--,eng_chk_00001
01:01:13:020,eng:01:01:13:028,that,eng_chk_00208
01:01:13:021,eng:01:01:13:029,it should be,eng_chk_00141
01:01:13:022,eng:01:01:13:030,destroyed,eng_chk_00057
00:00:00:001,eng:01:01:13:031,",",eng_chk_00005
01:01:13:023,eng:01:01:13:032,and,eng_chk_00028
01:01:13:024,eng:01:01:13:033,the inhabitants,eng_chk_00223
01:01:13:025,eng:01:01:13:034,thereof,eng_chk_00253
00:00:00:001,eng:01:01:13:035,;,eng_chk_00008
01:01:13:026,eng:01:01:13:036,many,eng_chk_00151
01:01:13:027,eng:01:01:13:037,should perish,eng_chk_00194
01:01:13:028,eng:01:01:13:038,by,eng_chk_00044
01:01:13:029,eng:01:01:13:039,the sword,eng_chk_00240
00:00:00:001,eng:01:01:13:040,",",eng_chk_00005
01:01:13:030,eng:01:01:13:041,and,eng_chk_00028
01:01:13:031,eng:01:01:13:042,many,eng_chk_00151
01:01:13:032,eng:01:01:13:043,should be,eng_chk_00193
01:01:13:033,eng:01:01:13:044,carried away,eng_chk_00047
01:01:13:034,eng:01:01:13:045,captive,eng_chk_00046
01:01:13:035,eng:01:01:13:046,into,eng_chk_00138
01:01:13:036,eng:01:01:13:047,Babylon,eng_chk_00034
00:00:00:001,eng:01:01:13:048,.,eng_chk_00006
01:01:14:001,eng:01:01:14:001,And,eng_chk_00028
01:01:14:002,eng:01:01:14:002,it came to pass,eng_chk_00140
01:01:14:003,eng:01:01:14:003,that,eng_chk_00208
01:01:14:004,eng:01:01:14:004,when,eng_chk_00281
01:01:14:005,eng:01:01:14:005,my father,eng_chk_00161
01:01:14:006,eng:01:01:14:006,had read,eng_chk_00079
01:01:14:007,eng:01:01:14:007,and,eng_chk_00028
01:01:14:008,eng:01:01:14:008,seen,eng_chk_00192
01:01:14:009,eng:01:01:14:009,many,eng_chk_00151
01:01:14:010,eng:01:01:14:010,great,eng_chk_00078
01:01:14:011,eng:01:01:14:011,and,eng_chk_00028
01:01:14:012,eng:01:01:14:012,marvelous,eng_chk_00152
01:01:14:013,eng:01:01:14:013,things,eng_chk_00263
00:00:00:001,eng:01:01:14:014,",",eng_chk_00005
01:01:14:014,eng:01:01:14:015,he did exclaim,eng_chk_00092
01:01:14:015,eng:01:01:14:016,many,eng_chk_00151
01:01:14:016,eng:01:01:14:017,things,eng_chk_00263
01:01:14:017,eng:01:01:14:018,unto,eng_chk_00276
01:01:14:018,eng:01:01:14:019,the Lord,eng_chk_00227
00:00:00:001,eng:01:01:14:020,;,eng_chk_00008
01:01:14:019,eng:01:01:14:021,such,eng_chk_00204
01:01:14:020,eng:01:01:14:022,as,eng_chk_00032
00:00:00:001,eng:01:01:14:023,:,eng_chk_00007
01:01:14:021,eng:01:01:14:024,Great,eng_chk_00078
01:01:14:022,eng:01:01:14:025,and,eng_chk_00028
01:01:14:023,eng:01:01:14:026,marvelous,eng_chk_00152
01:01:14:024,eng:01:01:14:027,are,eng_chk_00031
01:01:14:025,eng:01:01:14:028,thy works,eng_chk_00270
00:00:00:001,eng:01:01:14:029,",",eng_chk_00005
01:01:14:026,eng:01:01:14:030,O,eng_chk_00169
01:01:14:027,eng:01:01:14:031,Lord,eng_chk_00148
01:01:14:028,eng:01:01:14:032,God,eng_chk_00075
